log_date,stage_id,round_id,card_index,event_name,merge_level,role_num,sum_card_count,card_count
2026-02-09,10100101001,1010010100101,3,main_stage_end,1,12,12,1
2026-02-09,10100101001,1010010100101,4,main_stage_start,1,4,4,1
2026-02-09,10100101001,1010010100101,1,main_stage_start,1,11,11,1
2026-02-09,10100101001,1010010100101,4,main_stage_end,1,5,5,1
2026-02-09,10100101001,1010010100101,3,main_stage_start,1,9,9,1
2026-02-09,10100101001,1010010100101,2,main_stage_start,1,12,12,1
2026-02-09,10100101001,1010010100101,1,main_stage_end,1,9,9,1
2026-02-09,10100101001,1010010100101,2,main_stage_end,1,10,10,1
2026-02-09,10100101001,1010010100102,1,main_stage_end,1,2,2,1
2026-02-09,10100101001,1010010100102,2,main_stage_end,1,10,10,1
2026-02-09,10100101001,1010010100102,3,main_stage_start,1,3,4,1
2026-02-09,10100101001,1010010100102,3,main_stage_end,1,4,6,1
2026-02-09,10100101001,1010010100102,4,main_stage_end,1,10,10,1
2026-02-09,10100101001,1010010100102,1,main_stage_start,1,2,2,1
2026-02-09,10100101001,1010010100102,4,main_stage_start,1,11,12,1
2026-02-09,10100101001,1010010100102,2,main_stage_start,1,10,10,1
2026-02-09,10100101001,1010010100102,4,main_stage_end,2,2,2,1
2026-02-09,10100101001,1010010100102,2,main_stage_end,2,2,2,1
2026-02-09,10100101001,1010010100102,2,main_stage_start,2,2,2,1
2026-02-09,10100101001,1010010100102,3,main_stage_end,2,8,8,1
2026-02-09,10100101001,1010010100102,1,main_stage_end,2,10,10,1
2026-02-09,10100101001,1010010100102,3,main_stage_start,2,9,9,1
2026-02-09,10100101001,1010010100102,1,main_stage_start,2,10,10,1
2026-02-09,10100101001,1010010100102,4,main_stage_start,2,1,1,1
2026-02-09,10100101001,1010010100103,4,main_stage_end,1,5,6,1
2026-02-09,10100101001,1010010100103,2,main_stage_start,1,6,6,1
2026-02-09,10100101001,1010010100103,3,main_stage_start,1,12,12,1
2026-02-09,10100101001,1010010100103,1,main_stage_end,1,5,5,1
2026-02-09,10100101001,1010010100103,1,main_stage_start,1,6,7,1
2026-02-09,10100101001,1010010100103,2,main_stage_end,1,5,5,1
2026-02-09,10100101001,1010010100103,4,main_stage_start,1,1,1,1
2026-02-09,10100101001,1010010100103,3,main_stage_end,1,10,10,1
2026-02-09,10100101001,1010010100103,2,main_stage_start,2,8,8,1
2026-02-09,10100101001,1010010100103,1,main_stage_start,2,5,5,1
2026-02-09,10100101001,1010010100103,3,main_stage_start,2,11,11,1
2026-02-09,10100101001,1010010100103,1,main_stage_end,2,9,9,1
2026-02-09,10100101001,1010010100103,4,main_stage_start,2,12,12,1
2026-02-09,10100101001,1010010100103,2,main_stage_end,2,9,9,1
2026-02-09,10100101001,1010010100103,4,main_stage_end,2,10,10,1
2026-02-09,10100101001,1010010100103,3,main_stage_end,2,8,8,1
2026-02-09,10100101001,1010010100103,1,main_stage_end,3,4,4,1
2026-02-09,10100101001,1010010100103,1,main_stage_start,3,7,7,1
2026-02-09,10100101001,1010010100103,2,main_stage_end,3,1,1,1
2026-02-09,10100101001,1010010100103,3,main_stage_end,3,2,2,1
2026-02-09,10100101001,1010010100104,1,main_stage_end,1,7,9,1
2026-02-09,10100101001,1010010100104,4,main_stage_end,1,7,7,1
2026-02-09,10100101001,1010010100104,2,main_stage_start,1,9,11,1
2026-02-09,10100101001,1010010100104,3,main_stage_end,1,4,4,1
2026-02-09,10100101001,1010010100104,2,main_stage_end,1,5,6,1
2026-02-09,10100101001,1010010100104,4,main_stage_start,1,6,7,1
2026-02-09,10100101001,1010010100104,1,main_stage_start,1,3,3,1
2026-02-09,10100101001,1010010100104,3,main_stage_start,1,5,5,1
2026-02-09,10100101001,1010010100104,4,main_stage_start,2,5,5,1
2026-02-09,10100101001,1010010100104,4,main_stage_end,2,7,7,1
2026-02-09,10100101001,1010010100104,2,main_stage_end,2,6,6,1
2026-02-09,10100101001,1010010100104,1,main_stage_end,2,6,6,1
2026-02-09,10100101001,1010010100104,3,main_stage_end,2,4,5,1
2026-02-09,10100101001,1010010100104,3,main_stage_start,2,6,6,1
